song_title,streams_raw,daily_raw,rank,is_feature,title,role,streams,daily
One Dance,"4,475,983,833","1,794,105",1,FALSE,One Dance,Lead Artist,4475983833,1794105
God's Plan,"3,179,437,624","946,017",2,FALSE,God's Plan,Lead Artist,3179437624,946017
Passionfruit,"2,385,958,690","1,117,322",3,FALSE,Passionfruit,Lead Artist,2385958690,1117322
* Work,"1,764,857,902","1,189,814",4,TRUE,Work,Featured Artist,1764857902,1189814
Hotline Bling,"1,755,630,644","686,769",5,FALSE,Hotline Bling,Lead Artist,1755630644,686769
* MIA (feat. Drake),"1,620,829,092","339,209",6,TRUE,MIA (feat. Drake),Featured Artist,1620829092,339209
* Love Me,"1,558,488,609","2,065,581",7,TRUE,Love Me,Featured Artist,1558488609,2065581
In My Feelings,"1,549,509,356","208,520",8,FALSE,In My Feelings,Lead Artist,1549509356,208520
Nice For What,"1,531,475,442","282,247",9,FALSE,Nice For What,Lead Artist,1531475442,282247
* Life Is Good (feat. Drake),"1,517,207,817","381,376",10,TRUE,Life Is Good (feat. Drake),Featured Artist,1517207817,381376
* WAIT FOR U (feat. Drake & Tems),"1,412,265,634","585,853",11,TRUE,WAIT FOR U (feat. Drake & Tems),Featured Artist,1412265634,585853
* Going Bad (feat. Drake),"1,402,971,844","323,297",12,TRUE,Going Bad (feat. Drake),Featured Artist,1402971844,323297
"Hold On, We're Going Home","1,391,434,734","682,403",13,FALSE,"Hold On, We're Going Home",Lead Artist,1391434734,682403
Jimmy Cooks (feat. 21 Savage),"1,377,987,290","366,762",14,FALSE,Jimmy Cooks (feat. 21 Savage),Lead Artist,1377987290,366762
* No Guidance (feat. Drake),"1,359,205,243","896,785",15,TRUE,No Guidance (feat. Drake),Featured Artist,1359205243,896785
Nonstop,"1,345,529,578","289,754",16,FALSE,Nonstop,Lead Artist,1345529578,289754
* Yes Indeed,"1,337,340,906","518,469",17,TRUE,Yes Indeed,Featured Artist,1337340906,518469
Headlines,"1,269,917,213","945,699",18,FALSE,Headlines,Lead Artist,1269917213,945699
Toosie Slide,"1,237,759,641","241,484",19,FALSE,Toosie Slide,Lead Artist,1237759641,241484
Too Good,"1,205,407,866","176,719",20,FALSE,Too Good,Lead Artist,1205407866,176719
Laugh Now Cry Later (feat. Lil Durk),"1,187,158,951","322,747",21,FALSE,Laugh Now Cry Later (feat. Lil Durk),Lead Artist,1187158951,322747
Fair Trade (with Travis Scott),"1,177,971,503","375,060",22,FALSE,Fair Trade (with Travis Scott),Lead Artist,1177971503,375060
